pid,item_name,vendor_name,product_line,product_topCategory,instock_num,in_stock,out_of_stock,cost_price,item_url,url
2764722,Moto Sweatpants,Alo Yoga,PANTS,Women,6,S,"XS,M,L",98,https://www.bloomingdales.com/shop/product/alo-yoga-moto-sweatpants?ID=2764722,"https://images.bloomingdalesassets.com/is/image/BLM/products/6/optimized/9689626_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
3630053,Getaway Cropped Hoodie,Alo Yoga,SWEATSHIRTS,Women,6,L,"XS,S,M",88,https://www.bloomingdales.com/shop/product/alo-yoga-getaway-cropped-hoodie?ID=3630053,"https://images.bloomingdalesassets.com/is/image/BLM/products/9/optimized/11148429_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
4110817,Explorer Zip Jacket,Sweaty Betty,JACKET,Women,6,"XXS,XS,S,M,L,XL,XXL",,138,https://www.bloomingdales.com/shop/product/sweaty-betty-explorer-zip-jacket?ID=4110817,"https://images.bloomingdalesassets.com/is/image/BLM/products/8/optimized/11671028_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
3936975,Body Leggings,HEROINE SPORT,PANTS,Women,6,"XS,S","M,L,XL",98,https://www.bloomingdales.com/shop/product/heroine-sport-body-leggings?ID=3936975,"https://images.bloomingdalesassets.com/is/image/BLM/products/5/optimized/11391855_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
3986720,Twist Front Tee,Beyond Yoga,TEES,Women,6,"XS,S,M,L,XL",,66,https://www.bloomingdales.com/shop/product/beyond-yoga-twist-front-tee?ID=3986720,"https://images.bloomingdalesassets.com/is/image/BLM/products/5/optimized/11551915_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
3147642,Space-Dye Racerback Cropped Top ,Beyond Yoga,TOP,Women,6,"XS,S,M,L,XL",XXS,66,https://www.bloomingdales.com/shop/product/beyond-yoga-space-dye-racerback-cropped-top?ID=3147642,"https://images.bloomingdalesassets.com/is/image/BLM/products/0/optimized/11105150_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
3144219,Sofia Mesh Long-Sleeve Pullover Top ,KORAL,TOP,Women,6,"XS,S,M,L",,98,https://www.bloomingdales.com/shop/product/koral-sofia-mesh-long-sleeve-pullover-top?ID=3144219,"https://images.bloomingdalesassets.com/is/image/BLM/products/5/optimized/10030695_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
1813343,High Rise Lustrous Leggings,KORAL,PANTS,Women,6,"XS,S,M,L","XXS,XL",88,https://www.bloomingdales.com/shop/product/koral-high-rise-lustrous-leggings?ID=1813343,"https://images.bloomingdalesassets.com/is/image/BLM/products/0/optimized/11211950_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
2766000,7/8 High-Waist Airbrush Leggings,Alo Yoga,PANTS,Women,6,"XS,S,M,L,XL",XXS,78,https://www.bloomingdales.com/shop/product/alo-yoga-7-8-high-waist-airbrush-leggings?ID=2766000,"https://images.bloomingdalesassets.com/is/image/BLM/products/2/optimized/9707002_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
3541986,Muse Rib-Knit Sweatpants ,Alo Yoga,PANTS,Women,6,"S,M,L","XXS,XS",98,https://www.bloomingdales.com/shop/product/alo-yoga-muse-rib-knit-sweatpants?ID=3541986,"https://images.bloomingdalesassets.com/is/image/BLM/products/2/optimized/11326462_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
4077790,Glimpse Long Sleeve Top,Alo Yoga,TOP,Women,6,"XS,S,M,L",,68,https://www.bloomingdales.com/shop/product/alo-yoga-glimpse-long-sleeve-top?ID=4077790,"https://images.bloomingdalesassets.com/is/image/BLM/products/4/optimized/11326454_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
1127706,Yogi Contour Convertible Sports Bra #731050,Natori,BRA,Women,6,,,69,https://www.bloomingdales.com/shop/product/natori-yogi-contour-convertible-sports-bra-731050?ID=1127706,"https://images.bloomingdalesassets.com/is/image/BLM/products/9/optimized/8232759_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
4077569,High Rise Lustrous Leggings,KORAL,PANTS,Women,6,"XS,S","M,L,XL",96,https://www.bloomingdales.com/shop/product/koral-high-rise-lustrous-leggings?ID=4077569,"https://images.bloomingdalesassets.com/is/image/BLM/products/1/optimized/11198881_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
3475474,Airlift High-Rise Leggings ,Alo Yoga,PANTS,Women,6,S,"XXS,XS,M,L",114,https://www.bloomingdales.com/shop/product/alo-yoga-airlift-high-rise-leggings?ID=3475474,"https://images.bloomingdalesassets.com/is/image/BLM/products/5/optimized/11433235_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
2846728,High-Waist Midi Space-Dye Leggings,Beyond Yoga,PANTS,Women,6,"XS,S,M,L,XL","XXS,XXL",97,https://www.bloomingdales.com/shop/product/beyond-yoga-high-waist-midi-space-dye-leggings?ID=2846728,"https://images.bloomingdalesassets.com/is/image/BLM/products/3/optimized/10240193_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
3182151,Lindsey Sport Contour Underwire Bra,Wacoal,BRA,Women,6,,,70,https://www.bloomingdales.com/shop/product/wacoal-lindsey-sport-contour-underwire-bra?ID=3182151,"https://images.bloomingdalesassets.com/is/image/BLM/products/9/optimized/10319229_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
4052462,Stripe Sleeve Hoodie - 100% Exclusive,AQUA,SWEATSHIRTS,Women,6,"XS,S,M,L",,68,https://www.bloomingdales.com/shop/product/aqua-athletic-stripe-sleeve-hoodie-100-exclusive?ID=4052462,"https://images.bloomingdalesassets.com/is/image/BLM/products/2/optimized/11530752_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
3811241,Stripe Sleeve Knit Sweatshirt - 100% Exclusive,AQUA,SWEATSHIRTS,Women,6,"XS,S,M,L,XL","XS,S,M,L",68,https://www.bloomingdales.com/shop/product/aqua-athletic-stripe-sleeve-knit-sweatshirt-100-exclusive?ID=3811241,"https://images.bloomingdalesassets.com/is/image/BLM/products/7/optimized/11605947_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
3645863,Dynamic Convertible Medium-Impact Sports Bra,Natori,BRA,Women,6,,,72,https://www.bloomingdales.com/shop/product/natori-dynamic-convertible-medium-impact-sports-bra?ID=3645863,"https://images.bloomingdalesassets.com/is/image/BLM/products/4/optimized/10827404_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
3841531,Yin Yang Half Zip Pullover,Alo Yoga,SWEATSHIRTS,Women,6,"XS,S,M,L",,138,https://www.bloomingdales.com/shop/product/alo-yoga-yin-yang-half-zip-pullover?ID=3841531,"https://images.bloomingdalesassets.com/is/image/BLM/products/8/optimized/11246478_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
3936942,Croc Textured Mixed Media Jacket,Blanc Noir,JACKET,Women,6,XS,"S,M,L",149,https://www.bloomingdales.com/shop/product/blanc-noir-croc-textured-mixed-media-jacket?ID=3936942,"https://images.bloomingdalesassets.com/is/image/BLM/products/0/optimized/11335080_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
